timestamp,accX,accY,accZ
1348750128,-0.90,-0.46,0.05
1348752009,-0.90,-0.46,0.05
1348753987,-0.90,-0.46,0.05
1348755990,-0.88,-0.46,0.05
1348757990,-0.88,-0.46,0.05
1348759991,-0.88,-0.46,0.05
1348761986,-0.88,-0.46,0.05
1348763991,-0.88,-0.46,0.05
1348765987,-0.89,-0.46,0.04
1348767987,-0.89,-0.46,0.04
1348769990,-0.89,-0.46,0.04
1348771987,-0.89,-0.46,0.04
1348773986,-0.89,-0.46,0.04
1348776080,-0.89,-0.46,0.05
1348777990,-0.89,-0.46,0.05
1348779992,-0.89,-0.46,0.05
1348781998,-0.89,-0.46,0.05
1348783987,-0.89,-0.46,0.05
1348785992,-0.89,-0.45,0.04
1348787984,-0.89,-0.45,0.04
1348790055,-0.89,-0.45,0.04
1348792034,-0.89,-0.45,0.04
1348794014,-0.89,-0.45,0.04
1348796014,-0.90,-0.44,0.04
1348798018,-0.90,-0.44,0.04
1348800117,-0.90,-0.44,0.04
1348802020,-0.90,-0.44,0.04
1348804010,-0.90,-0.44,0.04
1348805986,-0.89,-0.44,0.03
1348807986,-0.89,-0.44,0.03
1348809985,-0.89,-0.44,0.03
1348811990,-0.89,-0.44,0.03
1348813987,-0.89,-0.44,0.03
1348815986,-0.89,-0.45,0.04
1348817985,-0.89,-0.45,0.04
1348819989,-0.89,-0.45,0.04
1348821987,-0.89,-0.45,0.04
1348823991,-0.89,-0.45,0.04
1348826082,-0.90,-0.44,0.04
1348827986,-0.90,-0.44,0.04
1348830021,-0.90,-0.44,0.04
1348832010,-0.90,-0.44,0.04
1348834012,-0.90,-0.44,0.04
1348836015,-0.89,-0.44,0.04
1348838009,-0.89,-0.44,0.04
1348840012,-0.89,-0.44,0.04
1348841993,-0.89,-0.44,0.04
1348843989,-0.89,-0.44,0.04
1348845991,-0.89,-0.45,0.04
1348847992,-0.89,-0.45,0.04
1348850120,-0.89,-0.45,0.04
1348852008,-0.89,-0.45,0.04
1348853987,-0.89,-0.45,0.04
1348855989,-0.90,-0.45,0.03
1348857987,-0.90,-0.45,0.03
1348859991,-0.90,-0.45,0.03
1348862009,-0.90,-0.45,0.03
1348863992,-0.90,-0.45,0.03
1348865991,-0.89,-0.44,0.04
1348867986,-0.89,-0.44,0.04
1348870034,-0.89,-0.44,0.04
1348872010,-0.89,-0.44,0.04
1348874008,-0.89,-0.44,0.04
1348876120,-0.89,-0.45,0.04
1348878046,-0.89,-0.45,0.04
1348880050,-0.89,-0.45,0.04
1348882058,-0.89,-0.45,0.04
1348884020,-0.89,-0.45,0.04
1348886019,-0.89,-0.45,0.05
1348887990,-0.89,-0.45,0.05
1348889985,-0.89,-0.45,0.05
1348891986,-0.89,-0.45,0.05
1348893991,-0.89,-0.45,0.05
1348895997,-0.89,-0.45,0.05
1348897985,-0.89,-0.45,0.05
1348900102,-0.89,-0.45,0.05
1348901994,-0.89,-0.45,0.05
1348903990,-0.89,-0.45,0.05
1348905987,-0.89,-0.45,0.05
1348907986,-0.89,-0.45,0.05
1348910021,-0.89,-0.45,0.05
1348912016,-0.89,-0.45,0.05
1348914014,-0.89,-0.45,0.05
1348916016,-0.90,-0.44,0.05
1348918017,-0.90,-0.44,0.05
1348920011,-0.90,-0.44,0.05
1348922009,-0.90,-0.44,0.05
1348923991,-0.90,-0.44,0.05
1348926088,-0.90,-0.45,0.05
1348927995,-0.90,-0.45,0.05
1348929991,-0.90,-0.45,0.05
1348931991,-0.90,-0.45,0.05
1348933986,-0.90,-0.45,0.05
1348935990,-0.90,-0.45,0.05
1348937986,-0.89,-0.45,0.06
1348939990,-0.89,-0.45,0.06
1348941991,-0.89,-0.45,0.06
1348943992,-0.89,-0.45,0.06
1348945986,-0.89,-0.45,0.06
1348947993,-0.89,-0.45,0.05
1348950116,-0.89,-0.45,0.05
1348952066,-0.89,-0.45,0.05
1348954044,-0.89,-0.45,0.05
1348956023,-0.89,-0.45,0.05
1348958046,-0.89,-0.44,0.05
1348960009,-0.89,-0.44,0.05
1348962015,-0.89,-0.44,0.05
1348964014,-0.89,-0.44,0.05
1348966014,-0.89,-0.44,0.05
1348968010,-0.90,-0.43,0.04
1348969992,-0.90,-0.43,0.04
1348971991,-0.90,-0.43,0.04
1348973987,-0.90,-0.43,0.04
1348976109,-0.90,-0.43,0.04
1348977986,-0.89,-0.44,0.05
1348979992,-0.89,-0.44,0.05
1348981996,-0.89,-0.44,0.05
1348983990,-0.89,-0.44,0.05
1348985984,-0.89,-0.44,0.05
1348987986,-0.90,-0.44,0.04
1348990013,-0.90,-0.44,0.04
1348992013,-0.90,-0.44,0.04
1348994021,-0.90,-0.44,0.04
1348996019,-0.90,-0.44,0.04
1348998011,-0.90,-0.44,0.04
1349000112,-0.90,-0.44,0.04
1349002019,-0.90,-0.44,0.04
1349003992,-0.90,-0.44,0.04
1349005989,-0.90,-0.44,0.04
1349007987,-0.89,-0.44,0.04
1349009989,-0.89,-0.44,0.04
1349011987,-0.89,-0.44,0.04
