timestamp,accX,accY,accZ
423017836,0.07,-0.47,0.88
423019699,0.07,-0.47,0.88
423021684,0.07,-0.47,0.88
423023696,0.07,-0.47,0.88
423025694,0.07,-0.47,0.88
423027696,0.07,-0.46,0.87
423029689,0.07,-0.46,0.87
423031691,0.07,-0.46,0.87
423033696,0.07,-0.46,0.87
423035696,0.07,-0.46,0.87
423037695,0.07,-0.46,0.87
423039695,0.14,-0.46,0.86
423041768,0.14,-0.46,0.86
423043699,0.14,-0.46,0.86
423045696,0.14,-0.46,0.86
423047694,0.14,-0.46,0.86
423049695,0.00,-0.48,0.90
423051695,0.00,-0.48,0.90
423053695,0.00,-0.48,0.90
423055690,0.00,-0.48,0.90
423057691,0.00,-0.48,0.90
423059694,0.16,-0.47,0.93
423061696,0.16,-0.47,0.93
423063729,0.16,-0.47,0.93
423065739,0.16,-0.47,0.93
423067813,0.16,-0.47,0.93
423069718,-0.02,-0.51,0.84
423071715,-0.02,-0.51,0.84
423073716,-0.02,-0.51,0.84
423075720,-0.02,-0.51,0.84
423077818,-0.02,-0.51,0.84
423079734,0.09,-0.52,0.74
423081718,0.09,-0.52,0.74
423083715,0.09,-0.52,0.74
423085690,0.09,-0.52,0.74
423087693,0.09,-0.52,0.74
423089686,0.08,-0.46,0.79
423091818,0.08,-0.46,0.79
423093757,0.08,-0.46,0.79
423095714,0.08,-0.46,0.79
423097681,0.08,-0.46,0.79
423099683,0.05,-0.50,0.85
423101694,0.05,-0.50,0.85
423103747,0.05,-0.50,0.85
423105743,0.05,-0.50,0.85
423107715,0.05,-0.50,0.85
423109718,0.09,-0.45,0.90
423111745,0.09,-0.45,0.90
423113736,0.09,-0.45,0.90
423115718,0.09,-0.45,0.90
423117808,0.09,-0.45,0.90
423119728,0.09,-0.45,0.90
423121750,0.07,-0.44,0.94
423123726,0.07,-0.44,0.94
423125680,0.07,-0.44,0.94
423127686,0.07,-0.44,0.94
423129690,0.07,-0.44,0.94
423131686,0.07,-0.47,0.89
423133751,0.07,-0.47,0.89
423135711,0.07,-0.47,0.89
423137677,0.07,-0.47,0.89
423139685,0.07,-0.47,0.89
423141787,0.07,-0.48,0.84
423143736,0.07,-0.48,0.84
423145740,0.07,-0.48,0.84
423147717,0.07,-0.48,0.84
423149717,0.07,-0.48,0.84
423151747,0.07,-0.49,0.81
423153733,0.07,-0.49,0.81
423155720,0.07,-0.49,0.81
423157715,0.07,-0.49,0.81
423159716,0.07,-0.49,0.81
423161751,0.07,-0.49,0.82
423163718,0.07,-0.49,0.82
423165684,0.07,-0.49,0.82
423167776,0.07,-0.49,0.82
423169699,0.07,-0.49,0.82
423171717,0.07,-0.48,0.86
423173717,0.07,-0.48,0.86
423175667,0.07,-0.48,0.86
423177669,0.07,-0.48,0.86
423179670,0.07,-0.48,0.86
423181668,0.07,-0.47,0.89
423183740,0.07,-0.47,0.89
423185715,0.07,-0.47,0.89
423187717,0.07,-0.47,0.89
423189719,0.07,-0.47,0.89
423191834,0.07,-0.48,0.88
423193748,0.07,-0.48,0.88
423195712,0.07,-0.48,0.88
423197713,0.07,-0.48,0.88
423199766,0.07,-0.48,0.88
423201735,0.07,-0.48,0.86
423203706,0.07,-0.48,0.86
423205680,0.07,-0.48,0.86
423207685,0.07,-0.48,0.86
423209746,0.07,-0.48,0.86
423211681,0.07,-0.48,0.86
423213674,0.07,-0.48,0.83
423215680,0.07,-0.48,0.83
423217782,0.07,-0.48,0.83
423219677,0.07,-0.48,0.83
423221676,0.07,-0.48,0.83
423223726,0.07,-0.48,0.83
423225832,0.07,-0.48,0.83
423227726,0.07,-0.48,0.83
423229714,0.07,-0.48,0.83
423231719,0.07,-0.48,0.83
423233715,0.07,-0.48,0.86
423235715,0.07,-0.48,0.86
423237714,0.07,-0.48,0.86
423239701,0.07,-0.48,0.86
423241829,0.07,-0.48,0.86
423243685,0.07,-0.48,0.87
423245679,0.07,-0.48,0.87
423247677,0.07,-0.48,0.87
423249670,0.07,-0.48,0.87
423251674,0.07,-0.48,0.87
423253676,0.07,-0.48,0.87
423255674,0.07,-0.48,0.87
423257670,0.07,-0.48,0.87
423259671,0.07,-0.48,0.87
423261669,0.07,-0.48,0.87
423263717,0.07,-0.48,0.85
423265715,0.07,-0.48,0.85
423267783,0.07,-0.48,0.85
423269716,0.07,-0.48,0.85
423271715,0.07,-0.48,0.85
423273747,0.08,-0.49,0.84
423275717,0.08,-0.49,0.84
423277680,0.08,-0.49,0.84
423279678,0.08,-0.49,0.84
423281682,0.08,-0.49,0.84
423283675,0.07,-0.48,0.85
423285677,0.07,-0.48,0.85
423287687,0.07,-0.48,0.85
423289684,0.07,-0.48,0.85
423291779,0.07,-0.48,0.85
423293765,0.07,-0.48,0.85
423295719,0.07,-0.48,0.86
423297681,0.07,-0.48,0.86
