timestamp,accX,accY,accZ
192621275,0.16,-0.23,-0.85
192623209,0.16,-0.23,-0.85
192625208,0.16,-0.23,-0.85
192627217,0.16,-0.23,-0.85
192629255,0.16,-0.23,-0.85
192631208,0.18,-0.23,-0.83
192633208,0.18,-0.23,-0.83
192635211,0.18,-0.23,-0.83
192637209,0.18,-0.23,-0.83
192639207,0.18,-0.23,-0.83
192641293,0.18,-0.27,-0.81
192643214,0.18,-0.27,-0.81
192645216,0.18,-0.27,-0.81
192647210,0.18,-0.27,-0.81
192649210,0.18,-0.27,-0.81
192651210,0.17,-0.25,-0.80
192653211,0.17,-0.25,-0.80
192655215,0.17,-0.25,-0.80
192657211,0.17,-0.25,-0.80
192659212,0.17,-0.25,-0.80
192661230,0.18,-0.28,-0.80
192663222,0.18,-0.28,-0.80
192665278,0.18,-0.28,-0.80
192667213,0.18,-0.28,-0.80
192669210,0.18,-0.28,-0.80
192727293,0.18,-0.32,-0.81
192729256,0.18,-0.32,-0.81
192731268,0.18,-0.32,-0.81
192733274,0.18,-0.28,-0.83
192735276,0.18,-0.28,-0.83
192737288,0.18,-0.28,-0.83
192739259,0.18,-0.28,-0.83
192741354,0.18,-0.28,-0.83
192743257,0.19,-0.30,-0.87
192745293,0.19,-0.30,-0.87
192747280,0.19,-0.30,-0.87
192749254,0.19,-0.30,-0.87
192751215,0.19,-0.30,-0.87
192753214,0.19,-0.31,-0.85
192755216,0.19,-0.31,-0.85
192757220,0.19,-0.31,-0.85
192759219,0.19,-0.31,-0.85
192761231,0.19,-0.31,-0.85
192763231,0.19,-0.32,-0.81
192765367,0.19,-0.32,-0.81
192767283,0.19,-0.32,-0.81
192769267,0.19,-0.32,-0.81
192771256,0.19,-0.32,-0.81
192773258,0.19,-0.32,-0.81
192775320,0.19,-0.33,-0.80
192777258,0.19,-0.33,-0.80
192779257,0.19,-0.33,-0.80
192781254,0.19,-0.33,-0.80
192783222,0.19,-0.33,-0.80
192785219,0.19,-0.32,-0.85
192787221,0.19,-0.32,-0.85
192789228,0.19,-0.32,-0.85
192791316,0.19,-0.32,-0.85
192793216,0.19,-0.32,-0.85
192795220,0.18,-0.31,-0.90
192797221,0.18,-0.31,-0.90
192799229,0.18,-0.31,-0.90
192801325,0.18,-0.31,-0.90
192803241,0.18,-0.31,-0.90
192805210,0.16,-0.33,-0.93
192807219,0.16,-0.33,-0.93
192809262,0.16,-0.33,-0.93
192811256,0.16,-0.33,-0.93
192813372,0.16,-0.33,-0.93
192815371,0.15,-0.38,-0.99
192817259,0.15,-0.38,-0.99
192819253,0.15,-0.38,-0.99
192821258,0.15,-0.38,-0.99
192823295,0.15,-0.38,-0.99
192825285,0.15,-0.37,-1.00
192827253,0.15,-0.37,-1.00
192829209,0.15,-0.37,-1.00
192831219,0.15,-0.37,-1.00
192833270,0.15,-0.37,-1.00
192835227,0.14,-0.37,-1.00
