timestamp,accX,accY,accZ
80055278,0.11,-0.29,-0.87
80057220,0.11,-0.29,-0.87
80059220,0.11,-0.31,-0.85
80061228,0.11,-0.31,-0.85
80063215,0.11,-0.31,-0.85
80065296,0.11,-0.31,-0.85
80067223,0.11,-0.31,-0.85
80069217,0.11,-0.28,-0.83
80071218,0.11,-0.28,-0.83
80073215,0.11,-0.28,-0.83
80075220,0.11,-0.28,-0.83
80077215,0.11,-0.28,-0.83
80079215,0.12,-0.29,-0.82
80081215,0.12,-0.29,-0.82
80083215,0.12,-0.29,-0.82
80085226,0.12,-0.29,-0.82
80087220,0.12,-0.29,-0.82
80089231,0.11,-0.29,-0.82
80091327,0.11,-0.29,-0.82
80093215,0.11,-0.29,-0.82
80095297,0.11,-0.29,-0.82
80097256,0.11,-0.29,-0.82
80099259,0.11,-0.25,-0.83
80101283,0.11,-0.25,-0.83
80103277,0.11,-0.25,-0.83
80105255,0.11,-0.25,-0.83
80107254,0.11,-0.25,-0.83
80109260,0.11,-0.25,-0.86
80111288,0.11,-0.25,-0.86
80113261,0.11,-0.25,-0.86
80115323,0.11,-0.25,-0.86
80117220,0.11,-0.25,-0.86
80119292,0.10,-0.25,-0.86
80121230,0.10,-0.25,-0.86
80123214,0.10,-0.25,-0.86
80125262,0.10,-0.25,-0.86
80127212,0.10,-0.25,-0.86
80129216,0.09,-0.26,-0.84
80131211,0.09,-0.26,-0.84
80133211,0.09,-0.26,-0.84
80135278,0.09,-0.26,-0.84
80137257,0.09,-0.26,-0.84
80139258,0.09,-0.26,-0.84
80141353,0.08,-0.30,-0.88
80143256,0.08,-0.30,-0.88
80145258,0.08,-0.30,-0.88
80147270,0.08,-0.30,-0.88
80149222,0.08,-0.30,-0.88
80151224,0.07,-0.30,-0.93
80153218,0.07,-0.30,-0.93
80155219,0.07,-0.30,-0.93
80157220,0.07,-0.30,-0.93
80159221,0.07,-0.30,-0.93
80161238,0.06,-0.30,-0.94
80163216,0.06,-0.30,-0.94
80165300,0.06,-0.30,-0.94
80167224,0.06,-0.30,-0.94
80169215,0.06,-0.30,-0.94
80171218,0.04,-0.32,-0.93
80173224,0.04,-0.32,-0.93
80175257,0.04,-0.32,-0.93
80177310,0.04,-0.32,-0.93
80179278,0.04,-0.32,-0.93
80181257,0.03,-0.31,-0.99
80183259,0.03,-0.31,-0.99
80185258,0.03,-0.31,-0.99
80187259,0.03,-0.31,-0.99
80189260,0.03,-0.31,-0.99
80191389,0.04,-0.29,-1.02
80193251,0.04,-0.29,-1.02
80195219,0.04,-0.29,-1.02
80197215,0.04,-0.29,-1.02
80199216,0.04,-0.29,-1.02
80201272,0.05,-0.29,-0.96
80203240,0.05,-0.29,-0.96
80205212,0.05,-0.29,-0.96
80207216,0.05,-0.29,-0.96
80209211,0.05,-0.29,-0.96
80211211,0.06,-0.27,-0.88
80213212,0.06,-0.27,-0.88
80215365,0.06,-0.27,-0.88
80217254,0.06,-0.27,-0.88
80219252,0.06,-0.27,-0.88
80221255,0.06,-0.27,-0.88
80223256,0.07,-0.24,-0.88
80225258,0.07,-0.24,-0.88
80227255,0.07,-0.24,-0.88
80229270,0.07,-0.24,-0.88
80231289,0.07,-0.24,-0.88
80233216,0.08,-0.22,-0.89
80235214,0.08,-0.22,-0.89
80237212,0.08,-0.22,-0.89
80239214,0.08,-0.22,-0.89
80241319,0.08,-0.22,-0.89
80243215,0.08,-0.20,-0.89
80245217,0.08,-0.20,-0.89
80247258,0.08,-0.20,-0.89
80249261,0.08,-0.20,-0.89
80251216,0.08,-0.20,-0.89
80253211,0.09,-0.18,-0.85
80255282,0.09,-0.18,-0.85
80257259,0.09,-0.18,-0.85
80259262,0.09,-0.18,-0.85
80261261,0.09,-0.18,-0.85
80263333,0.08,-0.19,-0.87
80265368,0.08,-0.19,-0.87
80267261,0.08,-0.19,-0.87
80269256,0.08,-0.19,-0.87
80271253,0.08,-0.19,-0.87
80273216,0.08,-0.17,-0.87
80275219,0.08,-0.17,-0.87
80277217,0.08,-0.17,-0.87
80279215,0.08,-0.17,-0.87
80281214,0.08,-0.17,-0.87
80283221,0.07,-0.20,-0.83
80285225,0.07,-0.20,-0.83
80287230,0.07,-0.20,-0.83
80289216,0.07,-0.20,-0.83
80291295,0.07,-0.20,-0.83
80293222,0.07,-0.17,-0.79
80295255,0.07,-0.17,-0.79
80297257,0.07,-0.17,-0.79
80299256,0.07,-0.17,-0.79
80301258,0.07,-0.17,-0.79
80303254,0.07,-0.17,-0.79
80305254,0.05,-0.20,-0.81
80307216,0.05,-0.20,-0.81
80309215,0.05,-0.20,-0.81
80311214,0.05,-0.20,-0.81
80313219,0.05,-0.20,-0.81
80315298,0.06,-0.18,-0.81
80317222,0.06,-0.18,-0.81
80319214,0.06,-0.18,-0.81
80321214,0.06,-0.18,-0.81
80323214,0.06,-0.18,-0.81
80325220,0.07,-0.17,-0.75
80327215,0.07,-0.17,-0.75
80329214,0.07,-0.17,-0.75
80331216,0.07,-0.17,-0.75
80333217,0.07,-0.17,-0.75
80335340,0.08,-0.21,-0.65
80337263,0.08,-0.21,-0.65
80339258,0.08,-0.21,-0.65
80341334,0.08,-0.21,-0.65
80343258,0.08,-0.21,-0.65
80345256,0.07,-0.21,-0.60
80347263,0.07,-0.21,-0.60
80349215,0.07,-0.21,-0.60
80351212,0.07,-0.21,-0.60
80353209,0.07,-0.21,-0.60
80355210,0.07,-0.21,-0.64
80357214,0.07,-0.21,-0.64
80359214,0.07,-0.21,-0.64
80361227,0.07,-0.21,-0.64
80363210,0.07,-0.21,-0.64
80365292,0.07,-0.21,-0.71
80367220,0.07,-0.21,-0.71
80369212,0.07,-0.21,-0.71
80371210,0.07,-0.21,-0.71
80373211,0.07,-0.21,-0.71
80375261,0.07,-0.21,-0.67
80377260,0.07,-0.21,-0.67
80379276,0.07,-0.21,-0.67
80381255,0.07,-0.21,-0.67
80383256,0.07,-0.21,-0.67
80385259,0.07,-0.21,-0.67
80387255,0.07,-0.25,-0.59
80389216,0.07,-0.25,-0.59
