timestamp,accX,accY,accZ
174590354,0.24,-0.50,-0.66
174592210,0.25,-0.47,-0.69
174594214,0.25,-0.47,-0.69
174596210,0.25,-0.47,-0.69
174598214,0.25,-0.47,-0.69
174600211,0.25,-0.47,-0.69
174602208,0.23,-0.45,-0.74
174604222,0.23,-0.45,-0.74
174606254,0.23,-0.45,-0.74
174608211,0.23,-0.45,-0.74
174610213,0.23,-0.45,-0.74
174612255,0.23,-0.45,-0.80
174614211,0.23,-0.45,-0.80
174616295,0.23,-0.45,-0.80
174618214,0.23,-0.45,-0.80
174620212,0.23,-0.45,-0.80
174622210,0.23,-0.48,-0.80
174624211,0.23,-0.48,-0.80
174626211,0.23,-0.48,-0.80
174628211,0.23,-0.48,-0.80
174630211,0.23,-0.48,-0.80
174632210,0.23,-0.48,-0.80
174634212,0.22,-0.47,-0.78
174636210,0.22,-0.47,-0.78
174638210,0.22,-0.47,-0.78
174696293,0.22,-0.48,-0.89
174698256,0.22,-0.48,-0.89
174700255,0.22,-0.48,-0.89
174702257,0.22,-0.48,-0.89
174704255,0.21,-0.47,-0.86
174706256,0.21,-0.47,-0.86
174708303,0.21,-0.47,-0.86
174710379,0.21,-0.47,-0.86
174712277,0.21,-0.47,-0.86
174714260,0.21,-0.48,-0.83
174716348,0.21,-0.48,-0.83
174718216,0.21,-0.48,-0.83
174720281,0.21,-0.48,-0.83
174722257,0.21,-0.48,-0.83
174724223,0.21,-0.48,-0.83
174726213,0.21,-0.51,-0.86
174728227,0.21,-0.51,-0.86
174730258,0.21,-0.51,-0.86
174732212,0.21,-0.51,-0.86
174734215,0.21,-0.51,-0.86
174736281,0.22,-0.47,-0.88
174738256,0.22,-0.47,-0.88
174740357,0.22,-0.47,-0.88
174742259,0.22,-0.47,-0.88
174744254,0.22,-0.47,-0.88
174746259,0.22,-0.45,-0.89
174748253,0.22,-0.45,-0.89
174750217,0.22,-0.45,-0.89
174752247,0.22,-0.45,-0.89
174754305,0.22,-0.45,-0.89
174756246,0.23,-0.46,-0.88
174758212,0.23,-0.46,-0.88
174760216,0.23,-0.46,-0.88
174762234,0.23,-0.46,-0.88
174764216,0.23,-0.46,-0.88
174766369,0.25,-0.45,-0.85
174768214,0.25,-0.45,-0.85
174770211,0.25,-0.45,-0.85
174772211,0.25,-0.45,-0.85
174774211,0.25,-0.45,-0.85
174776298,0.25,-0.44,-0.83
174778257,0.25,-0.44,-0.83
174780258,0.25,-0.44,-0.83
174782260,0.25,-0.44,-0.83
174784259,0.25,-0.44,-0.83
174786299,0.26,-0.42,-0.82
174788282,0.26,-0.42,-0.82
174790371,0.26,-0.42,-0.82
174792255,0.26,-0.42,-0.82
174794223,0.26,-0.42,-0.82
174796214,0.27,-0.39,-0.81
