timestamp,accX,accY,accZ
58867710,-0.13,0.07,0.90
58869649,-0.13,0.07,0.90
58871663,-0.13,0.07,0.90
58873646,-0.00,-0.02,0.93
58875642,-0.00,-0.02,0.93
58877646,-0.00,-0.02,0.93
58879646,-0.00,-0.02,0.93
58881645,-0.00,-0.02,0.93
58883644,0.00,-0.03,0.94
58885662,0.00,-0.03,0.94
58887784,0.00,-0.03,0.94
58889650,0.00,-0.03,0.94
58891642,0.00,-0.03,0.94
58893647,0.00,-0.02,0.94
58895643,0.00,-0.02,0.94
58897649,0.00,-0.02,0.94
58899646,0.00,-0.02,0.94
58901646,0.00,-0.02,0.94
58903646,0.00,-0.02,0.95
58905646,0.00,-0.02,0.95
58907711,0.00,-0.02,0.95
58909689,0.00,-0.02,0.95
58911677,0.00,-0.02,0.95
58913785,0.00,-0.02,0.94
58915671,0.00,-0.02,0.94
58917671,0.00,-0.02,0.94
58919671,0.00,-0.02,0.94
58921663,0.00,-0.02,0.94
58923646,0.00,-0.01,0.94
58925647,0.00,-0.01,0.94
58927646,0.00,-0.01,0.94
58929643,0.00,-0.01,0.94
58931645,0.00,-0.01,0.94
58933646,0.00,-0.03,0.94
58935645,0.00,-0.03,0.94
58937742,0.00,-0.03,0.94
58939655,0.00,-0.03,0.94
58941646,0.00,-0.03,0.94
58943647,0.00,-0.05,0.93
58945643,0.00,-0.05,0.93
58947682,0.00,-0.05,0.93
58949675,0.00,-0.05,0.93
58951676,0.00,-0.05,0.93
58953672,0.00,-0.01,0.95
58955670,0.00,-0.01,0.95
58957674,0.00,-0.01,0.95
58959660,0.00,-0.01,0.95
58961711,0.00,-0.01,0.95
58963808,0.00,-0.01,0.94
58965644,0.00,-0.01,0.94
58967644,0.00,-0.01,0.94
58969644,0.00,-0.01,0.94
58971670,0.00,-0.01,0.94
58973646,0.00,-0.01,0.95
58975645,0.00,-0.01,0.95
58977645,0.00,-0.01,0.95
58979647,0.00,-0.01,0.95
58981647,0.00,-0.01,0.95
58983654,0.00,-0.02,0.93
58985658,0.00,-0.02,0.93
58987778,0.00,-0.02,0.93
58989734,0.00,-0.02,0.93
58991676,0.00,-0.02,0.93
58993674,0.00,-0.02,0.95
58995673,0.00,-0.02,0.95
58997673,0.00,-0.02,0.95
58999676,0.00,-0.02,0.95
59001659,0.00,-0.02,0.95
59003645,0.01,-0.02,0.94
59005647,0.01,-0.02,0.94
59007644,0.01,-0.02,0.94
59009750,0.01,-0.02,0.94
59011679,0.01,-0.02,0.94
59013754,0.00,-0.02,0.94
59015645,0.00,-0.02,0.94
59017646,0.00,-0.02,0.94
59019643,0.00,-0.02,0.94
59021648,0.00,-0.02,0.94
59023646,0.00,-0.02,0.94
59025647,0.00,-0.02,0.94
59027690,0.00,-0.02,0.94
59029674,0.00,-0.02,0.94
59031672,0.00,-0.02,0.94
59033671,0.00,-0.02,0.94
59035674,0.00,-0.02,0.94
59037766,0.00,-0.02,0.94
59039675,0.00,-0.02,0.94
59041647,0.00,-0.02,0.94
59043649,0.00,-0.02,0.94
59045646,0.00,-0.03,0.94
59047644,0.00,-0.03,0.94
59049650,0.00,-0.03,0.94
59051659,0.00,-0.03,0.94
59053648,0.00,-0.03,0.94
59055725,0.00,-0.03,0.94
59057692,0.00,-0.03,0.94
59059655,0.00,-0.03,0.94
59061646,0.00,-0.03,0.94
59063754,0.00,-0.03,0.94
59065647,0.00,-0.02,0.93
59067690,0.00,-0.02,0.93
