timestamp,accX,accY,accZ
27657743,0.05,-0.29,0.96
27659686,0.05,-0.29,0.96
27661686,0.05,-0.29,0.96
27663686,0.05,-0.29,0.96
27665685,0.05,-0.29,0.96
27667763,0.05,-0.29,0.96
27669682,0.05,-0.28,0.95
27671684,0.05,-0.28,0.95
27673687,0.05,-0.28,0.95
27675683,0.05,-0.28,0.95
27677688,0.05,-0.28,0.95
27679684,0.06,-0.26,0.94
27681685,0.06,-0.26,0.94
27683690,0.06,-0.26,0.94
27685688,0.06,-0.26,0.94
27687693,0.06,-0.26,0.94
27689685,0.05,-0.30,0.95
27691754,0.05,-0.30,0.95
27693680,0.05,-0.30,0.95
27695680,0.05,-0.30,0.95
27697780,0.05,-0.30,0.95
27699719,0.06,-0.29,0.95
27701714,0.06,-0.29,0.95
27703736,0.06,-0.29,0.95
27705717,0.06,-0.29,0.95
27707724,0.06,-0.29,0.95
27709767,0.06,-0.28,0.96
27711720,0.06,-0.28,0.96
27713717,0.06,-0.28,0.96
27715715,0.06,-0.28,0.96
27717789,0.06,-0.28,0.96
27719688,0.05,-0.29,0.94
27721800,0.05,-0.29,0.94
27723696,0.05,-0.29,0.94
27725683,0.05,-0.29,0.94
27727700,0.05,-0.29,0.94
27729721,0.06,-0.28,0.95
27731687,0.06,-0.28,0.95
27733683,0.06,-0.28,0.95
27735681,0.06,-0.28,0.95
27737744,0.06,-0.28,0.95
27739717,0.05,-0.28,0.95
27741816,0.05,-0.28,0.95
27743767,0.05,-0.28,0.95
27745735,0.05,-0.28,0.95
27747732,0.05,-0.28,0.95
27749720,0.06,-0.28,0.95
27751718,0.06,-0.28,0.95
27753715,0.06,-0.28,0.95
27755688,0.06,-0.28,0.95
27757686,0.06,-0.28,0.95
27759688,0.06,-0.28,0.95
27761686,0.06,-0.27,0.95
27763690,0.06,-0.27,0.95
27765738,0.06,-0.27,0.95
27767840,0.06,-0.27,0.95
27769684,0.06,-0.27,0.95
27771683,0.06,-0.27,0.95
