timestamp,accX,accY,accZ
2151426132,-0.88,-0.50,-0.07
2151427996,-0.88,-0.50,-0.07
2151429987,-0.88,-0.50,-0.07
2151431986,-0.88,-0.50,-0.07
2151433991,-0.88,-0.50,-0.07
2151435991,-0.89,-0.51,-0.01
2151437990,-0.89,-0.51,-0.01
2151439992,-0.89,-0.51,-0.01
2151441990,-0.89,-0.51,-0.01
2151443986,-0.89,-0.51,-0.01
2151445986,-0.86,-0.48,0.03
2151447987,-0.86,-0.48,0.03
2151449992,-0.86,-0.48,0.03
2151452058,-0.86,-0.48,0.03
2151453990,-0.86,-0.48,0.03
2151455987,-0.91,-0.45,0.02
2151457984,-0.91,-0.45,0.02
2151460028,-0.91,-0.45,0.02
2151462001,-0.91,-0.45,0.02
2151463993,-0.91,-0.45,0.02
2151466062,-0.88,-0.40,0.02
2151468048,-0.88,-0.40,0.02
2151470019,-0.88,-0.40,0.02
2151472015,-0.88,-0.40,0.02
2151474014,-0.88,-0.40,0.02
2151476117,-0.90,-0.43,0.02
2151478017,-0.90,-0.43,0.02
2151480010,-0.90,-0.43,0.02
2151481992,-0.90,-0.43,0.02
2151483995,-0.90,-0.43,0.02
2151485991,-0.88,-0.43,0.02
2151487995,-0.88,-0.43,0.02
2151490000,-0.88,-0.43,0.02
2151491986,-0.88,-0.43,0.02
2151493991,-0.88,-0.43,0.02
2151495999,-0.89,-0.44,0.02
2151497987,-0.89,-0.44,0.02
2151499982,-0.89,-0.44,0.02
2151502087,-0.89,-0.44,0.02
2151503990,-0.89,-0.44,0.02
2151506019,-0.89,-0.41,0.02
2151508014,-0.89,-0.41,0.02
2151510021,-0.89,-0.41,0.02
2151512075,-0.89,-0.41,0.02
2151514049,-0.89,-0.41,0.02
2151516011,-0.88,-0.43,0.02
2151518011,-0.88,-0.43,0.02
2151520012,-0.88,-0.43,0.02
2151521991,-0.88,-0.43,0.02
2151523990,-0.88,-0.43,0.02
2151526108,-0.91,-0.42,0.03
